Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Freguesia (Jacarepaguá);1;1;1;70;1500.0;640.0;0.0;30.571428571428573;Apartamento
Apartamento;Méier;2;0;0;83;1400.0;240.0;0.0;19.759036144578314;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;105;1800.0;754.0;253.0;26.733333333333334;Apartamento
Apartamento;Olaria;2;1;0;90;1500.0;300.0;50.0;20.555555555555557;Apartamento
Casa de Condomínio;Itanhangá;4;4;2;543;10000.0;1340.0;1040.0;22.79926335174954;Casa
Apartamento;Freguesia (Jacarepaguá);2;1;0;52;1200.0;270.0;35.0;28.942307692307693;Apartamento
Apartamento;Botafogo;2;1;2;52;2500.0;1156.0;0.0;70.3076923076923;Apartamento
Apartamento;Barra da Tijuca;5;3;4;300;6000.0;3350.0;713.0;33.54333333333334;Apartamento
Conjunto Comercial/Sala;Centro;0;3;0;540;62100.0;12960.0;0.0;139.0;Apartamento
Apartamento;Engenho de Dentro;2;1;0;80;1100.0;368.0;70.0;19.225;Apartamento
Conjunto Comercial/Sala;Centro;0;4;0;438;43877.0;7744.0;0.0;117.85616438356165;Apartamento
Apartamento;Barra da Tijuca;1;0;0;67;2500.0;1553.0;266.0;64.46268656716418;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;135;3000.0;1200.0;932.0;38.01481481481481;Apartamento
Apartamento;Engenho Novo;2;1;0;50;1000.0;43593.0;0.0;891.86;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;8;0;640;54400.0;23470.0;3481.0;127.1109375;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;82;2000.0;740.0;180.0;35.609756097560975;Apartamento
Apartamento;Jacarepaguá;3;1;1;71;1700.0;600.0;0.0;32.394366197183096;Apartamento
Apartamento;Copacabana;4;0;0;190;6000.0;1000.0;0.0;36.8421052631579;Apartamento
Apartamento;Laranjeiras;4;0;0;110;2600.0;767.0;127.0;31.763636363636362;Apartamento
Apartamento;Engenho de Dentro;2;1;1;73;1200.0;750.0;0.0;26.71232876712329;Apartamento
Apartamento;Laranjeiras;4;1;0;308;13500.0;1700.0;0.0;49.35064935064935;Apartamento
Apartamento;Tijuca;2;1;1;70;2200.0;680.0;70.0;42.142857142857146;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;42;1500.0;723.0;240.0;58.642857142857146;Apartamento
Apartamento;Botafogo;3;0;1;88;2500.0;572.0;152.0;36.63636363636363;Apartamento
Apartamento;Tijuca;3;1;1;106;2000.0;900.0;0.0;27.358490566037737;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;100;4000.0;380.0;303.0;46.83;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;220;13500.0;2800.0;0.0;74.0909090909091;Apartamento
Flat;Ipanema;1;1;1;50;6500.0;0.0;0.0;130.0;Apartamento
Apartamento;Copacabana;3;0;2;116;3900.0;700.0;0.0;39.6551724137931;Apartamento
Apartamento;Copacabana;3;0;1;120;9000.0;2600.0;280.0;99.0;Apartamento
Apartamento;Ipanema;4;0;1;200;10900.0;3700.0;923.0;77.615;Apartamento
Apartamento;Lagoa;1;1;0;70;2200.0;1350.0;303.0;55.042857142857144;Apartamento
Loja/Salão;Centro;0;0;0;535;48000.0;6465.0;7628.0;116.06168224299066;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;260;5200.0;1650.0;0.0;26.346153846153847;Casa
Apartamento;Barra da Tijuca;2;1;1;68;2800.0;160.0;750.0;54.55882352941177;Apartamento
Quitinete;Centro;1;0;0;32;800.0;278.0;20.0;34.3125;Apartamento
Apartamento;Flamengo;3;0;1;170;6000.0;1600.0;564.0;48.023529411764706;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;200;4000.0;3234.0;870.0;40.52;Apartamento
Apartamento;Vila Isabel;2;0;0;45;1100.0;270.0;0.0;30.444444444444443;Apartamento
Apartamento;Copacabana;3;0;1;166;4600.0;1800.0;2693.0;54.77710843373494;Apartamento
Galpão/Depósito/Armazém;Campo Grande;0;0;0;300;5000.0;0.0;0.0;16.666666666666668;Apartamento
Apartamento;Barra da Tijuca;1;1;0;68;1800.0;1305.0;280.0;49.779411764705884;Apartamento
Apartamento;Leblon;2;1;0;88;4000.0;976.0;0.0;56.54545454545455;Apartamento
Apartamento;Pechincha;2;1;1;75;1200.0;460.0;0.0;22.133333333333333;Apartamento
Casa de Condomínio;Vargem Grande;3;0;1;250;2200.0;260.0;0.0;9.84;Casa
Apartamento;Catete;2;1;0;100;3400.0;600.0;166.0;41.66;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;30;500.0;640.0;114.0;41.8;Apartamento
Apartamento;Leblon;2;1;2;150;4500.0;2200.0;0.0;44.666666666666664;Apartamento
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;43;600.0;1094.0;0.0;39.395348837209305;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1200.0;594.0;216.0;55.833333333333336;Apartamento
Casa;Campo Grande;2;1;0;70;1200.0;0.0;0.0;17.142857142857142;Casa
